,0,1,2,3,4,5,6,7,8,9
0,H,H,H,H,H,H,H,H,H,H
1,H,H,H,H,H,H,H,H,H,H
2,H,H,H,H,H,H,H,H,H,H
3,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
5,H,H,D,D,D,D,H,H,H,H
6,H,D,D,D,D,D,D,D,D,H
7,H,D,D,D,D,D,D,D,D,D
8,H,H,H,S,S,S,H,H,H,H
9,H,S,S,S,S,S,H,H,H,H
10,H,S,S,S,S,S,H,H,H,H
11,H,S,S,S,S,S,H,H,H,H
12,H,S,S,S,S,S,H,H,H,H
13,S,S,S,S,S,S,S,S,S,S
14,S,S,S,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
